final monument	description	program	specific rules
601291-1	STOWAGE C3	BFE	NULL
601292-1	PARTITION ASSY	BFE	NULL
601293-1	PARTITION FWD LH	BFE	NULL
601293-2	PARTITION FWD RH	BFE	NULL
601294-1	PARTITION MID CENTER	BFE	NULL
601295-1	PARTITION MID LH	BFE	NULL
601296-1	PARTITION MID R H	BFE	NULL
601297-1	PARTITION AFT OF C R	BFE	NULL
601298-1	PARTITION DOGHOUSE LH	BFE	NULL
601298-2	PARTITION DOGHOUSE RH	BFE	NULL
601299-1	DCR	BFE	NULL
601300-1	GALLEY G1	BFE	NULL
601300-101	GALLEY G1	BFE	NULL
601301-1	GALLEY G5	BFE	NULL
601301-101	GALLEY G5	BFE	NULL
601301-201	GALLEY 5	BFE	NULL
601301-301	GALLEY 5	BFE	NULL
601302-1	LH STOWAGE S1	BFE	NULL
601302-102	RH STOWAGE S2	BFE	NULL
601303-1	GALLEY 4	BFE	NULL
601304-1	PARTITION MID CENTER	BFE	NULL
601304-101	PARTITION MID CENTER	BFE	NULL
601305-1	GALLEY G1	BFE	NULL
601305-201	GALLEY G1	BFE	NULL
601306-1	GALLEY G5	BFE	NULL
601306-101	GALLEY G5	BFE	NULL
601306-201	GALLEY 5	BFE	NULL
601307-1	GALLEY G1	BFE	NULL
601307-101	FINAL ASSEMBLY	BFE	NULL
601307-201	GALLEY G1	BFE	NULL
601308-1	GALLEY G2	BFE	NULL
601309-1	GALLEY G3	BFE	NULL
601309-101	GALLEY G3	BFE	NULL
601309-201	FINAL ASSEMBLY	BFE	NULL
601309-301	GALLEY G3	BFE	NULL
601310-1	GALLEY G4	BFE	NULL
601310-101	GALLEY G4	BFE	NULL
601311-1	GALLEY G5	BFE	NULL
601311-101	GALLEY G5	BFE	NULL
601311-1201	FINAL ASSY	BFE	NULL
601311-201	FINAL ASSY	BFE	NULL
601311-301	GALLEY G5	BFE	NULL
601312-1	GALLEY G6	BFE	NULL
601312-101	GALLEY G6	BFE	NULL
601312-1201	FINAL ASSY	BFE	NULL
601312-201	FINAL ASSY	BFE	NULL
601312-301	GALLEY G6	BFE	NULL
601313-1	CLOSET C1	BFE	NULL
601313-101	CLOSET C1	BFE	NULL
601313-201	CLOSET C1	BFE	NULL
601313-501	CLOSET C1	BFE	NULL
601314-1	CLOSET C2	BFE	NULL
601314-101	CLOSET C2	BFE	NULL
601315-1	CLOSET C3	BFE	NULL
601315-101	CLOSET C3	BFE	NULL
601316-1	PELMET ASSY	BFE	NULL
601316-101	PELMET ASSY	BFE	NULL
601317-1	CTR PARTITION	BFE	NULL
601317-101	CTR PARTITION	BFE	NULL
601317-201	CTR PARTITION	BFE	NULL
601318-1	PELMET ASSY G3	BFE	NULL
601318-101	PELMET ASSEMBLY	BFE	NULL
601319-1	AFT BULKHEAD	BFE	NULL
601319-101	BULKHEAD	BFE	NULL
601320-1	AFT GALLEY	BFE	NULL
601321-1	CREW BUNK	BFE	NULL
601321-101	CREW BUNK	BFE	NULL
601322-1	STAIRHOUSE	BFE	NULL
601322-101	STAIRHOUSE	BFE	NULL
601322-1101	STAIRHOUSE	BFE	NULL
601322-1201	STAIRHOUSE	BFE	NULL
601322-1301	STAIRHOUSE	BFE	NULL
601322-1401	STH	BFE	NULL
601322-1501	Stairhouse	BFE	NULL
601322-1601	STAIRHOUSE	BFE	NULL
601322-1701	STAIRHOUSE	BFE	NULL
601322-1801	STAIRHOUSE	BFE	NULL
601322-1901	STAIRHOUSE	BFE	NULL
601322-201	STAIRHOUSE	BFE	NULL
601322-2101	STAIRHOUSE	BFE	NULL
601322-2201	STAIRHOUSE	BFE	NULL
601322-2801	STAIRHOUSE	BFE	NULL
601322-301	STAIRHOUSE	BFE	NULL
601322-401	STAIRHOUSE	BFE	NULL
601322-501	FINAL ASSY	BFE	NULL
601322-601	FINAL ASSY	BFE	NULL
601322-701	FINAL ASSY	BFE	NULL
601322-801	FINAL ASSY	BFE	NULL
601322-901	FINAL ASSY	BFE	NULL
601323-1	STOWAGE, C2, FWD R/H	BFE	NULL
601323-101	STOWAGE C2, FWD R/H	BFE	NULL
601323-201	STOWAGE, C2, FWD R/H	BFE	NULL
601323-301	STOWAGE C2, FWD RH	BFE	NULL
601323-401	STOWAGE C2, FWD R/H	BFE	NULL
601324-1	STOWAGE C1, FWD L/H	BFE	NULL
601324-101	STOWAGE C1, FWD L/H	BFE	NULL
601324-201	STOWAGE C1, FWD LH	BFE	NULL
601324-301	STOWAGE C1, FWD L/H	BFE	NULL
601324-401	STOWAGE C1, FWD L/H	BFE	NULL
601325-1	GALLEY G5	BFE	NULL
601326-1	GALLEY G2A	BFE	NULL
601326-101	GALLEY G2A	BFE	NULL
601326-201	GALLEY G2A	BFE	NULL
601326-301	GALLEY G2A	BFE	NULL
601326-401	GALLEY G2A	BFE	NULL
601326-501	GALLEY G2A	BFE	NULL
601326-601	GALLEY G2A	BFE	NULL
601326-801	GALLEY G2A	BFE	NULL
601327-1	STOWAGE S1, FWD RH	BFE	NULL
601328-1	GALLEY G2A	BFE	NULL
601328-101	GALLEY G2A	BFE	NULL
601328-201	GALLEY G2A	BFE	NULL
601328-301	GALLEY G2A	BFE	NULL
601329-1	CLOSET C1, FWD L\H	BFE	NULL
601329-101	CLOSET C1, FWD L\H	BFE	NULL
601329-201	CLOSET C1, FWD L\H	BFE	NULL
601329-301	CLOSET C1, FWD L/H	BFE	NULL
601333-1	STOWAGE FWD LH 18"	BFE	NULL
601334-1	STOWAGE C1, LH	BFE	NULL
601334-101	STOWAGE S1, FWD LH 12"	BFE	NULL
601334-102	STOWAGE S2, FWD RH 12"	BFE	NULL
601334-2	STOWAGE C2, RH	BFE	NULL
601334-201	STOWAGE C1, LH	BFE	NULL
601334-202	STOWAGE C2, RH	BFE	NULL
601335-1	GALLEY G4	BFE	NULL
601336-1	L/H CLASS DIVIDER	BFE	NULL
601336-2	R/H CLASS DIVIDER	BFE	NULL
601337-1	CTR CLASS DIVIDER	BFE	NULL
601338-1	L/H CURTAIN HEADER	BFE	NULL
601338-2	R/H CURTAIN HEADER	BFE	NULL
601339-1	PARTITION&DOGHOUSE	BFE	NULL
601341-1	GALLEY G4	BFE	NULL
601342-1	STOWAGE FWD RH	BFE	NULL
601343-1	STOWAGE FWD LH	BFE	NULL
601343-2	STOWAGE FWD RH	BFE	NULL
