final monument	description	program	specific rules
619401-2603	GALLEY G5	BFE	NULL
619401-2903	GALLEY G5	BFE	NULL
619401-3203	GALLEY G5	BFE	NULL
619401-3503	GALLEY G5	BFE	NULL
619401-4403	GALLEY G5	BFE	NULL
619401-4803	GALLEY G5	BFE	NULL
619401-4903	GALLEY G5	BFE	NULL
619401-5003	GALLEY G5	BFE	NULL
619401-5103	GALLEY G5	BFE	NULL
619401-5303	GALLEY G5	BFE	NULL
619401-5603	GALLEY G5	BFE	NULL
619401-5703	GALLEY G5	BFE	NULL
619401-903	GALLEY 5	BFE	NULL
619410-1703	GALLEY G1	BFE	NULL
619410-1903	GALLEY G1	BFE	NULL
619410-2203	GALLEY G1	BFE	NULL
619410-2303	GALLEY G1	BFE	NULL
619410-3203	GALLEY G1	BFE	NULL
619410-3503	GALLEY G1	BFE	NULL
619410-3603	GALLEY G1	BFE	NULL
619410-3803	GALLEY G1	BFE	NULL
619410-4403	GALLEY G1	BFE	NULL
619410-4603	GALLEY G1	BFE	NULL
619410-4703	GALLEY G1	BFE	NULL
619410-4803	GALLEY G1	BFE	NULL
619410-4903	GALLEY G1	BFE	NULL
619410-5003	GALLEY G1	BFE	NULL
619410-5103	GALLEY G1	BFE	NULL
619410-5303	GALLEY G1	BFE	NULL
619410-6203	GALLEY G1	BFE	NULL
619501-3	GALLEY G1	BFE	NULL
619505-3	GALLEY G5	BFE	NULL
619508-3	GALLEY G8	BFE	NULL
619514-3	GALLEY G1A	BFE	NULL
619525-103	GALLEY G2A	BFE	NULL
619525-3	GALLEY G2A	BFE	NULL
619528-3	GALLEY G1	BFE	NULL
619548-3	Galley G4	BFE	NULL
698095-2711	GALLEY G5	BFE	NULL
600093-103	GALLEY G1	BFE	NULL
600094-1003	GALLEY G2A	BFE	NULL
600094-1103	GALLEY G2A	BFE	NULL
600095-1003	GALLEY G5	BFE	NULL
600095-1103	GALLEY G5	BFE	NULL
600095-2003	GALLEY G5	BFE	NULL
600095-2103	GALLEY G5	BFE	NULL
600095-2203	GALLEY G5	BFE	NULL
600095-2303	GALLEY G5	BFE	NULL
600095-2403	GALLEY G5	BFE	NULL
600095-2503	GALLEY G5	BFE	NULL
600095-2603	GALLEY G5	BFE	NULL
600095-2703	GALLEY G5	BFE	NULL
600095-2803	GALLEY G5	BFE	NULL
600095-2903	GALLEY G5	BFE	NULL
600095-3003	GALLEY G5	BFE	NULL
600095-403	GALLEY G5	BFE	NULL
600095-703	GALLEY G5	BFE	NULL
600095-803	GALLEY G5	BFE	NULL
600142-203	GALLEY G1	BFE	NULL
600142-503	GALLEY G1	BFE	NULL
600203-103	GALLEY 1	BFE	NULL
600203-203	GALLEY 1	BFE	NULL
600203-303	GALLEY 1	BFE	NULL
600203-403	GALLEY 1	BFE	NULL
600203-503	GALLEY 1	BFE	NULL
600203-603	GALLEY 1	BFE	NULL
600204-203	GALLEY 5	BFE	NULL
600204-403	GALLEY 5	BFE	NULL
600204-503	GALLEY 5	BFE	NULL
600205-103	GALLEY G1	BFE	NULL
600205-203	GALLEY G1	BFE	NULL
600205-3	GALLEY G1	BFE	NULL
600205-303	GALLEY G1	BFE	NULL
600205-603	GALLEY G1	BFE	NULL
600206-103	GALLEY G5	BFE	NULL
600206-3	GALLEY G5	BFE	NULL
600206-3903	GALLEY G5	BFE	NULL
600206-4103	GALLEY G5	BFE	NULL
600206-4203	GALLEY G5	BFE	NULL
600206-4303	GALLEY G5	BFE	NULL
600247-203	GALLEY G1	BFE	NULL
600248-203	GALLEY G5	BFE	NULL
600251-203	GALLEY 1	BFE	NULL
600251-3	GALLEY 1	BFE	NULL
600252-203	GALLEY 5	BFE	NULL
600252-3	GALLEY 5	BFE	NULL
600252-303	GALLEY G5	BFE	NULL
600259-303	GALLEY G1	BFE	NULL
600259-403	GALLEY G1	BFE	NULL
600260-203	GALLEY G4	BFE	NULL
600276-203	GALLEY G1	BFE	NULL
600278-203	GALLEY 5	BFE	NULL
600300-103	GALLEY G1	BFE	NULL
600301-203	GALLEY 5	BFE	NULL
600306-103	GALLEY 5	BFE	NULL
600307-103	GALLEY G1	BFE	NULL
600307-203	GALLEY G1	BFE	NULL
600307-3	GALLEY G1	BFE	NULL
600308-3	GALLEY G2	BFE	NULL
600309-203	GALLEY G3	BFE	NULL
600309-3	GALLEY G3	BFE	NULL
600310-3	GALLEY G4	BFE	NULL
600311-1203	GALLEY G5	BFE	NULL
600311-203	GALLEY G5	BFE	NULL
600311-3	GALLEY G5	BFE	NULL
600311-303	GALLEY G6	BFE	NULL
600312-203	GALLEY G6	BFE	NULL
600312-3	GALLEY G6	BFE	NULL
600312-303	GALLEY G6	BFE	NULL
600320-103	AFT GALLEY	BFE	NULL
600320-3	AFT GALLEY	BFE	NULL
600325-103	GALLEY G5	BFE	NULL
600325-3	GALLEY G5	BFE	NULL
600326-203	GALLEY G2A	BFE	NULL
600326-403	GALLEY G2A	BFE	NULL
600326-503	GALLEY G2A	BFE	NULL
600326-603	GALLEY G2A	BFE	NULL
600326-803	GALLEY G2A	BFE	NULL
600328-103	GALLEY G2A	BFE	NULL
600328-203	GALLEY G2A	BFE	NULL
600328-3	GALLEY G2A	BFE	NULL
600328-303	GALLEY G2A	BFE	NULL
600341-3	GALLEY G4	BFE	NULL
600351-3	GALLEY G2	BFE	NULL
600351-503	GALLEY G2A	BFE	NULL
600358-3	GALLEY G2A	BFE	NULL
600362-3	GALLEY G1	BFE	NULL
600363-3	GALLEY G4	BFE	NULL
600367-3	GALLEY G2A	BFE	NULL
600373-103	GALLEY G2(LOC IIa)	BFE	NULL
600373-3	GALLEY G2(LOC IIa)	BFE	NULL
600374-3	GALLEY G4(LOC III HS)	BFE	NULL
600375-3	GALLEY G5(LOC IV)	BFE	NULL
600380-3	GALLEY G4	BFE	NULL
600381-3	GALLEY G1A	BFE	NULL
600382-3	GALLEY G2F	BFE	NULL
600383-3	GALLEY G2A	BFE	NULL
600384-3	GALLEY G4F	BFE	NULL
600385-3	GALLEY G4L	BFE	NULL
600386-3	GALLEY G4R	BFE	NULL
600396-3	GALLEY G4	BFE	NULL
600397-3	GALLEY G4	BFE	NULL
600400-303	GALLEY G1	BFE	NULL
600401-103	GALLEY G5	BFE	NULL
600401-1203	GALLEY G5	BFE	NULL
600401-1303	GALLEY G5	BFE	NULL
600401-1403	GALLEY G5	BFE	NULL
600401-1603	GALLEY G5	BFE	NULL
600401-1703	GALLEY G5	BFE	NULL
600401-1903	GALLEY G5	BFE	NULL
600401-2203	GALLEY G5	BFE	NULL
600401-2603	GALLEY G5	BFE	NULL
600401-2703	GALLEY G5	BFE	NULL
600401-2903	GALLEY G5	BFE	NULL
600401-3103	GALLEY G5	BFE	NULL
600401-3203	GALLEY G5	BFE	NULL
600401-3503	GALLEY G5	BFE	NULL
600401-3603	GALLEY G5	BFE	NULL
600401-3803	GALLEY G5	BFE	NULL
600401-4303	GALLEY G5	BFE	NULL
600401-4403	GALLEY G5	BFE	NULL
600401-4503	GALLEY G5	BFE	NULL
600401-4803	GALLEY G5	BFE	NULL
600401-4903	GALLEY G5	BFE	NULL
600401-5003	GALLEY G5	BFE	NULL
600401-5103	GALLEY G5	BFE	NULL
600401-5303	GALLEY G5	BFE	NULL
600401-5603	GALLEY G5	BFE	NULL
600401-5703	GALLEY G5	BFE	NULL
600401-6203	GALLEY G5	BFE	NULL
600401-6303	GALLEY G5	BFE	NULL
600401-903	GALLEY G5	BFE	NULL
600410-103	GALLEY G1	BFE	NULL
600410-1203	GALLEY G1	BFE	NULL
600410-1403	GALLEY G1	BFE	NULL
600410-1703	GALLEY G1	BFE	NULL
600410-1903	GALLEY G1	BFE	NULL
600410-2203	GALLEY G1	BFE	NULL
600410-2303	GALLEY G1	BFE	NULL
600410-2603	GALLEY G1	BFE	NULL
600410-2903	GALLEY G1	BFE	NULL
600410-3003	GALLEY G1	BFE	NULL
600410-3103	GALLEY G1	BFE	NULL
600410-3203	GALLEY G1	BFE	NULL
600410-3503	GALLEY G1	BFE	NULL
600410-3603	GALLEY G1	BFE	NULL
600410-3803	GALLEY G1	BFE	NULL
600410-4103	GALLEY G1	BFE	NULL
600410-4403	GALLEY G1	BFE	NULL
600410-4603	GALLEY G1	BFE	NULL
600410-4703	GALLEY G1	BFE	NULL
600410-4803	GALLEY G1	BFE	NULL
600410-4903	GALLEY G1	BFE	NULL
600410-5003	GALLEY G1	BFE	NULL
600410-5103	GALLEY G1	BFE	NULL
600410-5303	GALLEY G1	BFE	NULL
600410-603	GALLEY G1	BFE	NULL
600410-6203	GALLEY G1	BFE	NULL
600410-6303	GALLEY G1	BFE	NULL
600410-903	GALLEY G1	BFE	NULL
600501-3	GALLEY G1	BFE	NULL
600505-3	GALLEY G5	BFE	NULL
600508-3	GALLEY G8	BFE	NULL
600514-3	GALLEY G1A	BFE	NULL
600515-3	GALLEY G4L	BFE	NULL
600525-103	GALLEY G2A	BFE	NULL
600525-203	GALLEY G2A	BFE	NULL
600525-3	GALLEY G2A	BFE	NULL
600528-3	GALLEY G1	BFE	NULL
600545-3	GALLEY G1	BFE	NULL
600546-3	GALLEY G2	BFE	NULL
600547-3	GALLEY G3	BFE	NULL
600548-3	GALLEY G4	BFE	NULL
600549-3	GALLEY G5	BFE	NULL
600550-3	GALLEY G6	BFE	NULL
600850-9003	GALLEY G1	BFE	NULL
600851-001013	Galley G1	SFE	NULL
600851-3	GALLEY G1	BFE	NULL
600852-13	GALLEY G1	BFE	NULL
600852-1403	GALLEY G1	BFE	NULL
600852-1603	GALLEY G1	BFE	NULL
600852-27303	GALLEY G1	SFE	NULL
600852-703	GALLEY G1	BFE	NULL
600852-803	GALLEY G1	BFE	NULL
600852-903	GALLEY G1	BFE	NULL
600853-001013	GALLEY G4	SFE	NULL
600854-001013	GALLEY G4	SFE	NULL
600855-001013	GALLEY G4	SFE	NULL
600856-13	GALLEY G5	BFE	NULL
600858-1003	GALLEY G5	BFE	NULL
600858-13	GALLEY G5	BFE	NULL
600858-1303	GALLEY G5	BFE	NULL
600858-1503	GALLEY G5	BFE	NULL
600858-1703	GALLEY G5	BFE	NULL
600939-3	GALLEY G1	BFE	NULL
600940-3	GA G4b	BFE	NULL
600963-3-ML	GALLEY G2a, HS	BFE	NULL
600980-3	GALLEY G1	BFE	NULL
6009C7-3	GALLEY G2a, HS	BFE	NULL
6009F1-3	GALLEY G5	BFE	NULL
6009F2-3	GALLEY G2a	BFE	NULL
601016-1101	GALLEY G5	BFE	NULL
601033-101	GALLEY 1	BFE	NULL
601033-501	FINAL ASSY	BFE	NULL
601033-701	GALLEY G1	BFE	NULL
601034-1	GALLEY 5	BFE	NULL
601034-501	FINAL ASSEMBLY	BFE	NULL
601093-1	GALLEY G1	BFE	NULL
601093-101	GALLEY G1	BFE	NULL
601094-1201	GALLEY G2A	BFE	NULL
601095-1	GALLEY G5	BFE	NULL
601095-101	GALLEY G5	BFE	NULL
601095-2401	GALLEY G5	BFE	NULL
601095-2901	GALLEY G5	BFE	NULL
601095-3001	GALLEY G5	BFE	NULL
601117-301	STAIRHOUSE	BFE	NULL
601160-1	STOWAGE L/H	BFE	NULL
601160-201	STOWAGE L/H	BFE	NULL
601192-101	FINAL ASSEMBLY	BFE	NULL
601192-301	FINAL ASSEMBLY	BFE	NULL
601194-1	GALLEY 5	BFE	NULL
601194-101	FINAL ASSEMBLY	BFE	NULL
601194-301	FINAL ASSEMBLY	BFE	NULL
601203-401	GALLEY G1	BFE	NULL
601203-501	GALLEY G1	BFE	NULL
601205-301	GALLEY G1	BFE	NULL
601205-601	GALLEY G1	BFE	NULL
601206-1001	GALLEY G5	BFE	NULL
601206-1101	GALLEY G5	BFE	NULL
601206-1201	GALLEY G5	BFE	NULL
601206-1301	GALLEY G5	BFE	NULL
601206-1401	GALLEY G5	BFE	NULL
601206-1501	GALLEY G5	BFE	NULL
601206-1601	GALLEY G5	BFE	NULL
601206-1701	GALLEY G5	BFE	NULL
601206-1801	GALLEY G5	BFE	NULL
601206-1901	GALLEY G5	BFE	NULL
601206-2001	GALLEY G5	BFE	NULL
601206-2101	GALLEY G5	BFE	NULL
601206-2201	GALLEY G5	BFE	NULL
601206-2301	GALLEY G5	BFE	NULL
601206-2401	GALLEY G5	BFE	NULL
601206-2501	GALLEY G5	BFE	NULL
601206-2601	GALLEY G5	BFE	NULL
601206-2701	GALLEY G5	BFE	NULL
601206-2801	GALLEY G5	BFE	NULL
601206-2901	GALLEY G5	BFE	NULL
601206-3001	GALLEY G5	BFE	NULL
601206-3101	GALLEY G5	BFE	NULL
601206-3201	GALLEY G5	BFE	NULL
601206-3301	GALLEY G5	BFE	NULL
601206-3401	GALLEY G5	BFE	NULL
601206-3501	GALLEY G5	BFE	NULL
601206-3601	GALLEY G5	BFE	NULL
601206-3701	GALLEY G5	BFE	NULL
601206-3801	GALLEY G5	BFE	NULL
601206-3901	GALLEY G5	BFE	NULL
601206-4101	GALLEY G5	BFE	NULL
601206-4201	GALLEY G5	BFE	NULL
601206-4301	GALLEY G5	BFE	NULL
601206-501	GALLEY G5	BFE	NULL
601206-601	GALLEY G5	BFE	NULL
601206-701	GALLEY G5	BFE	NULL
601206-801	GALLEY G5	BFE	NULL
601206-901	GALLEY G5	BFE	NULL
601251-201	GALLEY 1	BFE	NULL
601252-201	GALLEY 5	BFE	NULL
601252-301	GALLEY G5	BFE	NULL
601273-2501	FINAL ASSEMBLY	BFE	NULL
601273-2601	FINAL ASSEMBLY	BFE	NULL
601274-501	FINAL ASSEMBLY	BFE	NULL
601274-601	FINAL ASSEMBLY	BFE	NULL
601278-301	GALLEY G5	BFE	NULL
601278-401	GALLEY G5	BFE	NULL
601310-301	GALLEY G4	BFE	NULL
601311-1301	GALLEY G5	BFE	NULL
601312-401	GALLEY G6	BFE	NULL
601313-601	CLOSET C1	BFE	NULL
601322-2301	STAIRHOUSE	BFE	NULL
601325-101	GALLEY G5	BFE	NULL
601365-501	FINAL ASSEMBLY	BFE	NULL
601400-303	GALLEY G1	BFE	NULL
601401-3701	GALLEY G5	BFE	NULL
601401-6401	GALLEY G5	BFE	NULL
601401-6501	GALLEY G5	BFE	NULL
601401-6601	GALLEY G5	BFE	NULL
601401-6701	GALLEY G5	BFE	NULL
601401-6801	GALLEY G5	BFE	NULL
601401-6901	GALLEY G5	BFE	NULL
601401-7001	GALLEY G5	BFE	NULL
601401-7101	GALLEY G5	BFE	NULL
601401-7201	GALLEY G5	BFE	NULL
601401-7301	GALLEY G5	BFE	NULL
601401-7401	GALLEY G5	BFE	NULL
601401-7501	GALLEY G5	BFE	NULL
601410-3901	GALLEY G1	BFE	NULL
601410-6201	FINAL ASSEMBLY	BFE	NULL
601410-6301	GALLEY G1	BFE	NULL
601515-1001	FINAL ASSY	BFE	NULL
601516-1001	FINAL ASSY	BFE	NULL
601525-301	GALLEY G2A	BFE	NULL
601533-201	STAIRHOUSE	BFE	NULL
601538-1	OFFICE GALLEY	BFE	NULL
601545-1	Galley G1	BFE	NULL
601546-1	Galley G2	BFE	NULL
601547-1	Galley G3	BFE	NULL
601548-1	Galley G4	BFE	NULL
601549-1	Galley G5	BFE	NULL
601550-1	Galley G6	BFE	NULL
601557-201	Galley G4b	BFE	NULL
601558-1	Galley G4b enhanced	BFE	NULL
601850-000201	GALLEY G1	SFE	NULL
601850-002701	GALLEY G1	SFE	NULL
601850-003301	GALLEY G1 CANCELLED	SFE	NULL
601850-004201	GALLEY G1	SFE	NULL
601850-004301	GALLEY G1	SFE	NULL
601850-004401	GALLEY G1	SFE	NULL
601850-004501	GALLEY G1	SFE	NULL
601850-004601	GALLEY G1	SFE	NULL
601850-004701	GALLEY G1	SFE	NULL
601850-004801	GALLEY G1	SFE	NULL
601850-005101	GALLEY G1	SFE	NULL
601850-005201	GALLEY G1	SFE	NULL
601850-005301	GALLEY G1	SFE	NULL
601850-005401	GALLEY G1	SFE	NULL
601850-005501	GALLEY G1	SFE	NULL
601850-006301	GALLEY G1	SFE	NULL
601850-006401	GALLEY G1	SFE	NULL
601850-006701	GALLEY G1	SFE	NULL
601851-003801	GALLEY G1	SFE	NULL
601851-003901	GALLEY G1	SFE	NULL
601851-004601	GALLEY G1	SFE	NULL
601851-005401	GALLEY G1	SFE	NULL
601851-005601	GALLEY G1 cancelled	SFE	NULL
601851-006301	GALLEY G1	SFE	NULL
601851-007001	GALLEY G1	SFE	NULL
601851-007501	GALLEY G1	SFE	NULL
601851-007601	GALLEY G1	SFE	NULL
601851-008101	GALLEY G1	SFE	NULL
601851-008401	GALLEY G1	SFE	NULL
601851-008501	GALLEY G1	SFE	NULL
601851-008601	GALLEY G1	SFE	NULL
601851-008701	GALLEY G1	SFE	NULL
601851-008801	GALLEY G1	SFE	NULL
601851-008901	GALLEY G1	SFE	NULL
601851-009001	GALLEY G1	SFE	NULL
601851-009101	GALLEY G1	SFE	NULL
601851-009201	GALLEY G1	SFE	NULL
601851-009301	GALLEY G1	SFE	NULL
601851-009401	GALLEY G1	SFE	NULL
601851-009501	GALLEY G1	SFE	NULL
601851-009601	GALLEY G1	SFE	NULL
601851-009701	GALLEY G1	SFE	NULL
601851-009801	GALLEY G1	SFE	NULL
601851-009901	GALLEY G1	SFE	NULL
601851-010001	GALLEY G1	SFE	NULL
601851-010101	GALLEY G1	SFE	NULL
601851-010201	GALLEY G1	SFE	NULL
601851-010301	GALLEY G1	SFE	NULL
601851-010401	GALLEY G1	SFE	NULL
601851-010501	GALLEY G1	SFE	NULL
601851-010601	GALLEY G1	SFE	NULL
601851-010701	GALLEY G1	SFE	NULL
601851-012401	GALLEY G1	SFE	NULL
601851-012901	GALLEY G1	SFE	NULL
601851-013201	GALLEY G1	SFE	NULL
601851-014001	GALLEY G1	SFE	NULL
601851-014101	GALLEY G1	SFE	NULL
601851-015101	GALLEY G1	SFE	NULL
601851-015801	GALLEY G1	SFE	NULL
601851-016201	GALLEY G1	SFE	NULL
601851-016301	GALLEY G1	SFE	NULL
601851-016601	GALLEY G1	SFE	NULL
601851-017101	GALLEY G1	SFE	NULL
601851-017401	GALLEY G1	SFE	NULL
601851-018501	GALLEY G1	SFE	NULL
601851-018601	GALLEY G1	SFE	NULL
601851-018701	GALLEY G1	SFE	NULL
601851-018801	GALLEY G1	SFE	NULL
601851-018901	GALLEY G1	SFE	NULL
601851-019001	GALLEY G1	SFE	NULL
601851-019901	GALLEY G1	SFE	NULL
601851-020901	GALLEY G1	SFE	NULL
601851-021301	GALLEY G1 D02	SFE	NULL
601851-025701	GALLEY G1	SFE	NULL
601851-025901	GALLEY G1	SFE	NULL
601851-026501	GALLEY G1	SFE	NULL
601852-000201	GALLEY G1	SFE	NULL
601852-001201	GALLEY G1	SFE	NULL
601852-002901	GALLEY G1	SFE	NULL
601852-004301	GALLEY G1	SFE	NULL
601852-005801	GALLEY G1 (VJC03)	SFE	NULL
601852-006101	GALLEY G1	SFE	NULL
601852-007201	GALLEY G1	SFE	NULL
601852-008701	GALLEY G1	SFE	NULL
601852-009001	GALLEY G1	SFE	NULL
601852-009301	GALLEY G1	SFE	NULL
601852-009401	GALLEY G1	SFE	NULL
601852-009801	GALLEY G1	SFE	NULL
601852-010701	GALLEY G1	SFE	NULL
601852-010801	GALLEY G1	SFE	NULL
601852-011501	GALLEY G1	SFE	NULL
601852-011701	GALLEY G1	SFE	NULL
601852-011901	GALLEY G1	SFE	NULL
601852-012001	GALLEY G1	SFE	NULL
601852-012201	GALLEY G1	SFE	NULL
601852-012301	GALLEY G1	SFE	NULL
601852-012401	GALLEY G1	BFE	NULL
601852-012501	GALLEY G1	BFE	NULL
601852-012601	GALLEY G1	SFE	NULL
601852-012701	GALLEY G1	SFE	NULL
601852-012801	GALLEY G1	SFE	NULL
601852-012901	GALLEY G1	SFE	NULL
601852-013001	GALLEY G1	SFE	NULL
601852-013101	GALLEY G1	SFE	NULL
601852-013201	GALLEY G1	SFE	NULL
601852-013301	GALLEY G1	SFE	NULL
601852-013401	GALLEY G1	SFE	NULL
601852-013501	GALLEY G1	SFE	NULL
601852-013601	GALLEY G1	SFE	NULL
601852-013701	GALLEY G1	SFE	NULL
601852-013801	GALLEY G1	SFE	NULL
601852-013901	GALLEY G1	SFE	NULL
601852-014001	GALLEY G1	SFE	NULL
601852-014101	GALLEY G1	SFE	NULL
601852-014201	GALLEY G1	SFE	NULL
601852-014301	GALLEY G1	SFE	NULL
601852-014401	GALLEY G1	SFE	NULL
601852-014501	GALLEY G1	SFE	NULL
601852-014601	GALLEY G1	SFE	NULL
601852-014701	GALLEY G1	SFE	NULL
601852-014801	GALLEY G1	SFE	NULL
601852-014901	GALLEY G1	SFE	NULL
601852-015001	GALLEY G1	SFE	NULL
601852-015101	GALLEY G1	SFE	NULL
601852-015201	GALLEY G1	SFE	NULL
601852-015301	GALLEY G1	SFE	NULL
601852-015401	GALLEY G1	SFE	NULL
601852-015501	GALLEY G1	SFE	NULL
601852-015601	GALLEY G1	SFE	NULL
601852-015701	GALLEY G1	SFE	NULL
601852-015801	GALLEY G1	SFE	NULL
601852-015901	GALLEY G1	SFE	NULL
601852-016001	GALLEY G1	SFE	NULL
601852-016101	GALLEY G1	SFE	NULL
601852-016201	GALLEY G1	SFE	NULL
601852-016301	GALLEY G1	SFE	NULL
601852-016401	GALLEY G1	SFE	NULL
601852-016501	GALLEY G1	SFE	NULL
601852-016601	GALLEY G1	SFE	NULL
601852-016701	GALLEY G1	SFE	NULL
601852-016801	GALLEY G1	SFE	NULL
601852-016901	GALLEY G1	SFE	NULL
601852-017001	GALLEY G1	SFE	NULL
601852-017101	GALLEY G1	SFE	NULL
601852-017501	GALLEY G1	SFE	NULL
601852-018301	GALLEY G1	SFE	NULL
601852-018401	GALLEY G1	SFE	NULL
601852-020501	GALLEY G1	SFE	NULL
601852-020701	GALLEY G1	SFE	NULL
601852-020901	GALLEY G1	SFE	NULL
601852-021301	GALLEY G1	SFE	NULL
601852-021401	GALLEY G1	SFE	NULL
601852-021601	GALLEY G1	SFE	NULL
601852-022001	GALLEY G1	SFE	NULL
601852-022801	GALLEY G1	SFE	NULL
601852-023401	GALLEY G1	SFE	NULL
601852-023501	GALLEY G1	SFE	NULL
601852-024401	GALLEY G1	SFE	NULL
601852-024901	GALLEY G1	SFE	NULL
601852-026001	GALLEY G1	SFE	NULL
601852-026101	GALLEY G1	SFE	NULL
601852-026501	GALLEY G1	SFE	NULL
601852-026801	GALLEY G1	SFE	NULL
601852-026901	GALLEY G1	SFE	NULL
601852-027001	GALLEY G1	SFE	NULL
601852-030601	GALLEY G1	SFE	NULL
601852-030701	GALLEY G1	SFE	NULL
601852-030901	GALLEY G1	SFE	NULL
601852-036801	GALLEY G1	SFE	NULL
601852-036901	GALLEY G1	SFE	NULL
601852-037001	GALLEY G1	SFE	NULL
601852-037101	GALLEY G1	SFE	NULL
601852-038601	GALLEY G1	SFE	NULL
601853-000501	Galley G4	SFE	NULL
601854-000201	GALLEY G4	SFE	NULL
601855-000201	GALLEY G4	SFE	NULL
601855-000801	GALLEY G4	SFE	NULL
601855-000901	GALLEY G4	SFE	NULL
601855-001001	GALLEY G4	SFE	NULL
601855-001301	GALLEY G4	SFE	NULL
601856-000201	GALLEY G5	SFE	NULL
601856-002201	GALLEY G5	SFE	NULL
601856-002301	GALLEY G5	SFE	NULL
601856-002601	GALLEY G5	SFE	NULL
601856-002801	GALLEY G5	SFE	NULL
601856-003101	GALLEY G5	SFE	NULL
601856-003201	GALLEY G5	SFE	NULL
601856-003401	GALLEY G5	SFE	NULL
601856-003501	GALLEY G5	SFE	NULL
601856-003601	GALLEY G5	SFE	NULL
601856-003701	GALLEY G5	SFE	NULL
601856-003801	GALLEY G5	SFE	NULL
601856-003901	GALLEY G5	SFE	NULL
601856-004001	GALLEY G5	SFE	NULL
601856-004201	GALLEY G3	SFE	NULL
601856-004301	GALLEY G3	SFE	NULL
601856-004401	GALLEY G3	SFE	NULL
601856-004501	GALLEY G5	SFE	NULL
601856-004601	GALLEY G5	SFE	NULL
601856-004701	GALLEY G5	SFE	NULL
601856-004801	GALLEY G5	SFE	NULL
601856-004901	GALLEY G5	SFE	NULL
601856-005001	GALLEY G5	SFE	NULL
601856-005101	GALLEY G5	SFE	NULL
601856-005201	GALLEY G5	SFE	NULL
601856-005301	GALLEY G5	SFE	NULL
601856-005401	GALLEY G5	SFE	NULL
601856-005501	GALLEY G5	SFE	NULL
601856-005601	GALLEY G5	SFE	NULL
601856-005701	GALLEY G5	SFE	NULL
601856-005801	GALLEY G5	SFE	NULL
601856-005901	GALLEY G5	SFE	NULL
601856-006401	GALLEY G5	SFE	NULL
601856-006601	GALLEY G5	SFE	NULL
601856-006701	GALLEY G5	SFE	NULL
601856-006801	GALLEY G5	SFE	NULL
601856-006901	GALLEY G5	SFE	NULL
601856-007301	GALLEY G5	SFE	NULL
601856-007601	GALLEY G5	SFE	NULL
601856-007701	GALLEY G5	SFE	NULL
601856-008001	GALLEY G5	SFE	NULL
601856-008101	GALLEY G5	SFE	NULL
601856-008201	Galley G5	SFE	NULL
601856-008301	Galley G5	SFE	NULL
601856-008401	Galley G5	SFE	NULL
601856-008501	Galley G5	SFE	NULL
601856-008601	Galley G5	SFE	NULL
601856-008901	GALLEY G5	SFE	NULL
601856-009301	GALLEY G5	SFE	NULL
601856-010001	GALLEY G5	SFE	NULL
601856-010401	GALLEY G5	SFE	NULL
601856-010501	GALLEY G5	SFE	NULL
601856-010601	GALLEY G5	SFE	NULL
601856-010701	GALLEY G5	SFE	NULL
601856-010801	GALLEY G5	SFE	NULL
601856-010901	GALLEY G5	SFE	NULL
601856-011001	GALLEY G5	SFE	NULL
601856-011101	GALLEY G5	SFE	NULL
601856-011301	GALLEY G5	SFE	NULL
601857-000601	GALLEY G5	SFE	NULL
601857-000901	GALLEY G5	SFE	NULL
601857-001701	GALLEY G5	SFE	NULL
601857-002401	REPLACED BY 601856-001801	SFE	NULL
601857-002701	GALLEY G5	SFE	NULL
601857-002801	GALLEY G5	SFE	NULL
601857-003001X	GALLEY G5	SFE	NULL
601857-003201	GALLEY G5	SFE	NULL
601857-004201	GALLEY G5	SFE	NULL
601857-004401	GALLEY G5	SFE	NULL
601857-004601	GALLEY G5	SFE	NULL
601857-004701	GALLEY G5	SFE	NULL
601857-005101	GALLEY G5	SFE	NULL
601857-005201	GALLEY G5	SFE	NULL
601857-005301	GALLEY G5	SFE	NULL
601857-005801	GALLEY G5	SFE	NULL
601857-005901	GALLEY G5	SFE	NULL
601857-006301	GALLEY G5	SFE	NULL
601857-007201	GALLEY G5	SFE	NULL
601857-007401	FINAL ASSEMBLY	SFE	NULL
601857-007501	GALLEY G5	SFE	NULL
601857-007701	GALLEY G5	SFE	NULL
601857-008001	GALLEY G5	SFE	NULL
601857-008101	GALLEY G5	SFE	NULL
601857-008201	GALLEY G5	SFE	NULL
601857-008301	GALLEY G5	SFE	NULL
601857-008401	GALLEY G5	SFE	NULL
601857-008501	GALLEY G5	SFE	NULL
601857-008601	GALLEY G5	SFE	NULL
601857-008701	GALLEY G5	SFE	NULL
601857-008801	GALLEY G5	SFE	NULL
601857-008901	GALLEY G5	SFE	NULL
601857-009001	GALLEY G5	SFE	NULL
601857-009101	GALLEY G5	SFE	NULL
601857-009201	GALLEY G5	SFE	NULL
601857-009301	GALLEY G5	SFE	NULL
601857-009401	GALLEY G5	SFE	NULL
601857-009501	GALLEY G5	SFE	NULL
601857-009601	GALLEY G5	SFE	NULL
601857-009701	GALLEY G5	SFE	NULL
601857-009801	GALLEY G5	SFE	NULL
601857-009901	GALLEY G5	SFE	NULL
601857-010001	GALLEY G5	SFE	NULL
601857-010101	GALLEY G5	SFE	NULL
601857-010201	GALLEY G5	SFE	NULL
601857-010301	GALLEY G5	SFE	NULL
